State_FIPS_Code,County_FIPS_Code,County,CHSI_State_Name,State,Poverty_%,Poverty,Population_Size,Min_Population_Size,Max_Population_Size,Age_65_84,Age_85_and_Over,White,Black,Native_American,Asian,Hispanic,Less_than_highschool_diploma,Highschool_diploma_only,college_associate_s_degree,Bachelor_degree_higher,adults_with_less_than_highschool,proper_adults_with_less_than_highschool,adults_highschool,proper_adults_highschool,adults_compl_associate_s_degree,proper_adults_compl_associate_s_degree,adults_bachelor_s_degree_higher,proper_adults_bachelor_s_degree_higher,total,Civilian_labor_force_2013,Employed_2013,Unemployed_2013,Unemployment_rate_2013,Civilian_labor_force_2014,Employed_2014,Unemployed_2014,Unemployment_rate_2014,Civilian_labor_force_2015,Employed_2015,Unemployed_2015,Unemployment_rate_2015,Median_Household_Income,Med_HH_Income_Percent_of_State_Total
48,395,Robertson,Texas,TX,19.1,3092.672,16192,6228,19495,14.1,2.1,76.4,22.5,0.3,0.3,15.3,2449,4046,2613,1868,22.3,22.3,36.9,36.9,23.8,23.8,17,17,100,7307,6799,508,7,7146,6763,383,5.4,7206,6859,347,4.8,43194,81.4
48,397,Rockwall,Texas,TX,6.8,4280.192,62944,37787,53533,7.7,0.7,91.7,4.8,0.5,2.2,13.3,4442,11703,17721,19661,8.3,8.3,21.9,21.9,33.1,33.1,36.7,36.7,100,42388,39969,2419,5.7,43410,41452,1958,4.5,44391,42722,1669,3.8,84692,159.6
48,399,Runnels,Texas,TX,18.3,2008.242,10974,7102,22197,15.8,3.1,96.8,1.6,0.9,0.4,32.8,1427,2800,1740,944,20.6,20.6,40.5,40.5,25.2,25.2,13.7,13.7,100,4993,4732,261,5.2,4972,4761,211,4.2,4685,4510,175,3.7,38607,72.8
48,401,Rusk,Texas,TX,15.3,7339.563,47971,28910,46480,12.8,2.1,80.2,18.5,0.3,0.3,10.4,6999,13047,11928,4910,19,19,35.4,35.4,32.3,32.3,13.3,13.3,100,24376,22873,1503,6.2,24204,23013,1191,4.9,23436,22325,1111,4.7,46427,87.5
48,403,Sabine,Texas,TX,16.4,1708.224,10416,6796,19677,22.6,2.4,89.3,9.8,0.3,0.2,2.4,1252,3378,2121,937,16.3,16.3,43.9,43.9,27.6,27.6,12.2,12.2,100,3569,3111,458,12.8,3542,3168,374,10.6,3491,3162,329,9.4,35701,67.3
48,405,San Augustine,Texas,TX,19.8,1763.586,8907,4928,13835,19.5,3.6,72.5,26.9,0.2,0.2,4.6,1413,2749,1612,641,22,22,42.9,42.9,25.1,25.1,10,10,100,2943,2603,340,11.6,2826,2556,270,9.6,2792,2535,257,9.2,32826,61.9
48,407,San Jacinto,Texas,TX,17.6,4364.976,24801,6704,22717,13.7,1.5,86.2,11.5,0.6,0.5,7.1,3512,7909,4790,2281,19,19,42.8,42.8,25.9,25.9,12.3,12.3,100,11481,10621,860,7.5,11412,10755,657,5.8,11260,10621,639,5.7,43087,81.2
48,409,San Patricio,Texas,TX,17.9,12388.411,69209,54746,94031,10,1.1,94.6,2.8,0.8,1,51.6,9616,12190,13457,6140,23.2,23.22322322,29.4,29.42942943,32.5,32.53253253,14.8,14.81481481,99.9,30741,28552,2189,7.1,30679,28768,1911,6.2,30558,28576,1982,6.5,51958,97.9
48,411,San Saba,Texas,TX,18.3,1111.908,6076,1518,12815,15,2.6,95.6,3,1.2,0.3,24.3,853,1344,1470,572,20.1,20.1,31.7,31.7,34.7,34.7,13.5,13.5,100,2279,2150,129,5.7,2231,2138,93,4.2,2231,2150,81,3.6,38000,71.6
48,413,Schleicher,Texas,TX,16.4,449.688,2742,1218,9524,13.1,1.8,97.1,2.4,0,0.4,46.5,498,539,469,386,26.3,26.3,28.5,28.5,24.8,24.8,20.4,20.4,100,1808,1745,63,3.5,1780,1726,54,3,1681,1602,79,4.7,50361,94.9
48,415,Scurry,Texas,TX,17.4,2821.758,16217,8134,24778,12.8,1.9,93,5.9,0.6,0.3,33.1,2535,3072,3827,1717,22.7,22.72272272,27.5,27.52752753,34.3,34.33433433,15.4,15.41541542,99.9,8589,8235,354,4.1,8611,8325,286,3.3,8210,7871,339,4.1,56444,106.4
48,417,Shackelford,Texas,TX,12.9,408.543,3167,1218,9524,15.9,2.2,98.7,0.8,0.4,0,9.3,313,757,648,551,13.8,13.78621379,33.4,33.36663337,28.6,28.57142857,24.3,24.27572428,100.1,2304,2229,75,3.3,2374,2308,66,2.8,2100,2041,59,2.8,55130,103.9
48,419,Shelby,Texas,TX,18.5,4874.01,26346,6704,22717,13.2,2.1,77.1,18.1,0.4,4,15.6,3921,5861,4394,2270,23.8,23.82382382,35.6,35.63563564,26.7,26.72672673,13.8,13.81381381,99.9,11661,10802,859,7.4,11612,10933,679,5.8,11420,10813,607,5.3,35772,67.4
48,421,Sherman,Texas,TX,13.1,393.262,3002,1303,12284,11.2,1.2,97.4,0.8,1,0.8,30.5,516,510,523,417,26.2,26.22622623,25.9,25.92592593,26.6,26.62662663,21.2,21.22122122,99.9,1485,1425,60,4,1505,1458,47,3.1,1430,1389,41,2.9,49309,92.9
48,423,Smith,Texas,TX,14.7,28017.318,190594,111380,231954,12.4,1.7,78.9,18.6,0.5,1,14.2,20431,35357,47347,34746,14.8,14.81481481,25.6,25.62562563,34.3,34.33433433,25.2,25.22522523,99.9,101910,95296,6614,6.5,102244,96923,5321,5.2,102736,98088,4648,4.5,45363,85.5
48,425,Somervell,Texas,TX,10.1,765.378,7578,8134,24778,12.7,1.5,98,0.5,0.7,0.3,15.4,973,1370,1820,1542,17.1,17.1,24,24,31.9,31.9,27,27,100,4158,3909,249,6,4136,3924,212,5.1,4173,3964,209,5,51733,97.5
48,427,Starr,Texas,TX,36.2,22060.642,60941,54746,94031,9,1.1,98.6,0.5,0.3,0.6,97.5,18365,7502,5281,3320,53.3,53.3,21.8,21.8,15.3,15.3,9.6,9.6,100,26395,22473,3922,14.9,25991,22448,3543,13.6,25757,22255,3502,13.6,26699,50.3
